,carbono
,527
,528
,526
,526
,528
,527
,527
,524
,526
,525
,522
,523
,521
,520
,522
,521
,519
,517
,514
,514
,519
,520
,521
,521
,519
,520
,519
,517
,519
,520
,519
,520
,521
,522
,522
,520
,519
,519
,521
,521
,519
,521
,518
,517
,516
,515
,513
,514
,513
,515
,515
,514
,512
,510
,510
,510
,511
,510
,509
,511
,511
,511
,510
,508
,510
,509
,508
,508
,507
,506
,507
,509
,505
,504
,502
,500
,500
,499
,499
,499
,498
,499
,500
,500
,502
,503
,502
,499
,498
,499
,502
,502
,502
,502
,502
,499
,498
,500
,500
,499
,499
